Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Koolewong,Glenrock,Pde,Stairs,-33.46613312,151.3184763,
Kotara,Kotara,Pl,Ramp,-32.94136917,151.6974634,
Lakemba,Railway,Pde,Stairs,-33.919759,151.0761338,
Lapstone,Explorers,Rd,Stairs,-33.77355931,150.6426108,
Lawson,Great Western,Hwy,Ramp,-33.71943599,150.4294992,
Leichhardt North LR,James,St,Lift,-33.87498002,151.1550356,
Leightonfield,Monier,Sq,Ramp,-33.88189412,150.9851028,
Leppingon,Rickard,Rd,Stairs,-33.95443956,150.8082668,
Leumeah,O'Sullivan,Rd,Ramp,-34.05102916,150.8304338,
Leura,Railway,Pde,Stairs,-33.71212061,150.3311289,
Lewisham,Thomas ,St,Stairs,-33.8931095,151.1475983,
Lewisham West LR,Smith,St,Path,-33.8937862,151.1433429,
Lidcombe,Church,St,Stairs,-33.86338085,151.0445549,
Lilyfield LR,Catherine ,St,Ramp,-33.87419537,151.1648238,
Linden,Burke,Rd,Stairs,-33.71474436,150.5043663,
Lindfield,Lindfield,Ave,Stairs,-33.77565442,151.1695097,
Lisarow,Pacific,Hwy,Stairs,-33.38218451,151.3701793,
Lithgow,Railway,Pde,Path,-33.48051667,150.1567066,
Liverpool,Biggs,St,Lift,-33.92438493,150.9269976,
Lochinvar,Station,Lane,Ramp,-32.72039462,151.4504811,
Loftus,Pitt,St,Ramp,-34.04499976,151.0513888,
Lysaghts,Recycling,Rd,Stairs,-34.4548118,150.8752141,
Macarthur,Menangle ,Rd,Stairs,-34.0722662,150.7970753,
Macdonaldtown,Burren,St,Stairs,-33.89679186,151.1853862,
Macquarie Fields,Railway,Pde,Ramp,-33.98496652,150.8789376,
Macquarie Park,Lane Cove,Rd,Lift,-33.78539513,151.1284747,
Macquarie University,Herring,Rd,Lift,-33.77716806,151.1180933,
Maitland,Station,St,Path,-32.73774765,151.552236,
Marayong,Harvey,Rd,Stairs,-33.74622068,150.9003117,
Marion LR,Marion,St,Path,-33.8839155,151.1449963,
Marrickville,Illawarra,Rd,Stairs,-33.91375714,151.1532248,
Martin Place,Phillip,St,Lift,-33.8677258,151.211419,4
Martins Creek,Grace,Ave,Ramp,-32.55848164,151.618412,
Marulan,Railway,Pde,Path,-34.70959939,150.0056691,
Mascot,Bourke,St,Stairs,-33.92315955,151.1873924,
Meadowbank,Bank,St,Ramp,-33.81555584,151.089916,
Medlow Bath,Great Western,Hwy,Stairs,-33.67295305,150.2803919,
Menangle,Stevens,Rd,Path,-34.12585573,150.7440669,
Menangle Park,Racecourse,Rd,Ramp,-34.10338507,150.7449509,
Merrylands,Railway,Tce,Ramp,-33.83669532,150.9926698,
Metford,McCubbin ,Cl,Lift,-32.76536099,151.6181329,
Milsons Point,Ennis,Rd,Ramp,-33.84579562,151.212403,
Mindaribba,Tocal,Rd,Ramp,-32.66835055,151.5845537,
Minnamurra,North,St,Ramp,-34.62633044,150.8530098,
Minto,Minto,Rd,Stairs,-34.02750455,150.8426006,
Miranda,Kiora,Rd,Stairs,-34.036075,151.1019708,
Mittagong,Regent,St,Stairs,-34.45240354,150.4483624,
Moore Park LR,Anzac,Pde,Stairs,-33.89342778,151.2210603,
Morisset,Macquarie,St,Lift,-33.10903664,151.4882907,
Mortdale,Cook,Lane,Stairs,-33.97116587,151.0808093,
Moss Vale,Argyle,St,Path,-34.54838916,150.372103,
Mount Colah,Pacific,Hwy,Stairs,-33.67129214,151.1150982,
Mount Druitt,Beames,Ave,Lift,-33.76977783,150.8201693,
Mount Kurring-gai,Harwood,Ave,Stairs,-33.65382765,151.1370126,
Mount Victoria,Station,St,Stairs,-33.58817529,150.256825,
Mulgrave,Mulgrave,Rd,Ramp,-33.62649899,150.8298983,
Museum,Elizabeth,St,Stairs,-33.87493423,151.2098618,
Muswellbrook,Market,St,Stairs,-32.26758584,150.8908038,
Narara,Narara Valley,Dr,Stairs,-33.39459444,151.3444334,
Narwee,Hurst,Pl,Path,-33.94783139,151.0706442,
Newcastle Interchange,Charles,St,Path,-32.9239171,151.7593884,
Newtown,King,St,Ramp,-33.89787696,151.1788814,
Niagara Park,Kathleen Morreau,Rd,Stairs,-33.38322824,151.3545729,
Normanhurst,Denman,Pde,Path,-33.72090894,151.0971516,
North Ryde,Delhi,Rd,Lift,-33.79457376,151.1378963,
North Strathfield,Queen,St,Stairs,-33.85916251,151.0885013,
North Sydney,Blue,St,Path,-33.84102219,151.2074984,
North Wollongong,Porter,St,Path,-34.41208744,150.8913264,
Norwest,Century,Circuit,Escalators,-33.73431131,150.9629162,
Noth Strathfield,Pomeroy,St,Ramp,-33.85755734,151.0873986,
Oak Flats,Stanford,Dr,Ramp,-34.57173048,150.8202085,
Oatley,Mulga,Rd,Lift,-33.980259,151.0787615,
Olympic Park,Park,St,Path,-33.8461115,151.070683,
Otford,Lady Carrington ,Rd,Ramp,-34.21072283,151.0055213,
Ourimbah,Station,St,Path,-33.35937321,151.3697352,
Paddy's Markets,Hay,St,Path,-33.87933704,151.2026206,
Padstow,Memorial,Dr,Stairs,-33.95170664,151.0319304,
Panania,Anderson,Ave,Ramp,-33.95413352,150.9982975,
Parramatta,Darcy,St,Lift,-33.81707893,151.0049168,
Paterson,Main,St,Stairs,-32.60237058,151.6147645,
Pendle Hill,Joyce,St,Path,-33.80130891,150.9558506,
Pennant Hills,Railway,St,Ramp,-33.73816108,151.0725647,
Penrith,Jane,St,Stairs,-33.75018886,150.6961967,
Penrose,Penrose,Rd,Path,-34.67230549,150.2122744,
Penshurst,Laycock,Rd,Stairs,-33.96631991,151.0887138,
Petersham,Trafalgar,St,Stairs,-33.89402275,151.1557675,
Picton,Prince,St,Stairs,-34.17968277,150.6127042,
Point Clare,Kurrawa,Ave,Stairs,-33.44630072,151.3285267,
Port Kembla,Old Port,Rd,Ramp,-34.47718852,150.9028567,
Port Kembla North,Flinders,St,Stairs,-34.47312925,150.8870415,
Punchbowl,Punchbowl,Rd,Stairs,-33.92525226,151.0555798,
Pymble,Pacific,Hwy,Stairs,-33.74498339,151.1421989,
Pyrmont Bay LR,Murray,St,Path,-33.86953485,151.197708,
Quakers Hill,Railway,Pde,Stairs,-33.72721417,150.8858872,
QVB LR,George,St,Path,-33.87157838,151.2068633,
Randwick LR,High,St,Path,-33.91719767,151.2410526,
Redfern,Gibbons,St,Path,-33.8920298,151.1995113,
Regents Park,Amy,St,Path,-33.8833513,151.0241784,
Revesby,Blamey,St,Lift,-33.95273626,151.0152327,
Rhodes,Walker,St,Stairs,-33.83064015,151.0868216,
Richmond,E Market,St,Stairs,-33.59877109,150.7523098,
Riverstone,Garfield,Rd W,Path,-33.67985685,150.8605208,
Riverwood,Belmore,Rd,Stairs,-33.95160087,151.0525497,
Rockdale,Geeves,Lane,Stairs,-33.9523035,151.1369871,
Rooty Hill,Beames,Ave,Ramp,-33.77201339,150.844247,
Rosehill,James Ruse,Dr,Ramp,-33.82308432,151.0218152,
Roseville,Hill,St,Ramp,-33.78434859,151.1778664,
Rouse Hill,Tempus,St,Lift,-33.69154816,150.9239461,
Royal Randwick LR,Alison,Rd,Path,-33.90508663,151.2283727,
Rozelle Bay LR,The Crescent,,Stairs,-33.8717488,151.1728699,
Rydalmere,Brodie,St,Path,-33.81015641,151.0294797,
Sandgate,Astra,St,Stairs,-32.87279417,151.7028016,
Scarborough,Railway,Ave,Stairs,-34.26551615,150.9651941,
Schofields,Railway,Tce,Stairs,-33.70418713,150.8739328,
Scone,Susan,St,Path,-32.04670656,150.8670728,
Sefton,Helen,St,Stairs,-33.88516069,151.0116714,
Seven Hills,Prospect,Hwy,Lift,-33.77407161,150.9360893,
Shellharbour,Piper,Dr,Stairs,-34.59128718,150.8446519,
Singleton,Munro,St,Path,-32.57183342,151.1654861,
Springwood,Macquarie ,Rd,Stairs,-33.69918984,150.5636973,
St James,James,Rd,Ramp,-33.87003326,151.2112893,
St Leonards,Sergeants,Lane,Lift,-33.82222391,151.1947607,
St Marys,Station,St,Stairs,-33.76231824,150.774872,
St Peters,Lord,St,Path,-33.90694267,151.1806495,
Stanmore,Trafalgar,St,Ramp,-33.89467603,151.1641571,
Stanwell Park,Railway,Cres,Stairs,-34.22618328,150.9812344,
Strathfield,Everton,Rd,Stairs,-33.87134403,151.0944811,
Summer Hill,Carlton,Cres,Stairs,-33.89044157,151.1386413,
Surry Hills LR,Devonshire,St,Path,-33.88764807,151.2109881,
Sutherland,East,Pde,Path,-34.0315567,151.0573425,
Sydenham,Gleeson,Ave,Lift,-33.91491191,151.1661011,
Tahmoor,George ,St,Path,-34.22358755,150.5902412,
Tallawong,Themeda,Ave,Escalators,-33.69163014,150.9060224,
Tallong,Railway,Pde,Path,-34.71837568,150.0860928,
Tarro,Woodberry ,Rd,Stairs,-32.80889516,151.6693728,
Tascott,Glenrock,Pde,Stairs,-33.45094989,151.3183448,
Taverners Hill LR,Parramatta ,Rd,Lift,-33.8895669,151.145176,
Telarah,Johnson,St,Ramp,-32.72323179,151.5398951,
Telopea,Adderton,Rd,Ramp,-33.79402152,151.0412637,
Tempe,Richardson,Cres,Stairs,-33.92358032,151.1564713,
Teralba,William,St,Path,-32.962727,151.6039263,
The Star LR,Pirrama,Rd,Path,-33.8672709,151.1957096,
Thirroul,Railway,Pde,Path,-34.31788392,150.918865,
Thornleigh,Railway,Pde,Path,-33.73207901,151.0783738,
Thornton,Karuah ,St,Lift,-32.78356119,151.6399551,
Toongabbie,Portice,Pde,Ramp,-33.78714281,150.9511669,
Town Hall,George,St,Stairs,-33.87416617,151.2066678,4
Town Hall LR,George,St,Path,-33.87386266,151.2067752,
Towradgi,Towradgi,Rd,Ramp,-34.38412652,150.9013586,
Tuggerah,Bryant,Dr,Ramp,-33.3077456,151.4204201,
Turramurra,Rohini,St,Path,-33.73258953,151.1290978,
Turrella,Reede,St,Stairs,-33.92977422,151.1404283,
Unanderra,Berkeley,Rd,Stairs,-34.45480327,150.8454954,
UNSW LR,High,St,Path,-33.91638284,151.2360806,
Valley Heights,Great Western,Hwy,Stairs,-33.70414867,150.5836892,
Victoria Street,Waller,St,Stairs,-32.75096544,151.5941378,
Villawood,Villawood,St,Stairs,-33.88092102,150.9773626,
Vineyard,Bandon,Rd,Ramp,-33.65018802,150.851063,
Wahroonga,Redleaf,Ave,Stairs,-33.71800187,151.1175185,
Waitara,Alexandria,Pde,Path,-33.71028639,151.105246,
Wallarobba,Wallarobba Brookfield,Rd,Ramp,-32.49615032,151.6956921,
Wansey LR,Alison,Rd,Path,-33.91105413,151.2355339,
Warabrook,Ring,Rd,Ramp,-32.88848678,151.709521,
Waratah,Platt,St,Stairs,-32.902354,151.7310238,
Waratah Mills LR,Weston,St,Path,-33.8988126,151.1398647,
Warnervale,Warnervale,Rd,Path,-33.2473843,151.4491366,
Warrawee,Warrawee,Ave,Path,-33.72439373,151.1220398,
Warrimoo,Railway,Pde,Stairs,-33.72132609,150.6029511,
Warwick Farm,Remembrance,Ave,Stairs,-33.91347354,150.9349611,
Waterfall,Kooraban,St,Ramp,-34.13517267,150.994605,
Waverton,Bay,Rd,Path,-33.83756728,151.1974683,
Wentworth Falls,Station,St,Stairs,-33.70952535,150.3761198,
Wentworth Park LR,Wattle,St,Ramp,-33.87506758,151.1935385,
Wentworthville,The Kingsway,,Stairs,-33.80725292,150.972304,
Werrington,Railway,St,Lift,-33.75920751,150.7574014,
West Ryde,Railway,Pde,Stairs,-33.80746637,151.0905793,
Westmead,Alexandria,Ave,Ramp,-33.80864182,150.9876577,
Wiley Park,King Georges ,Rd,Ramp,-33.92270486,151.0680185,
Windsor,Cox,St,Path,-33.61292723,150.8090296,
Wingello,Railway,Pde,Path,-34.69233579,150.1583818,
Wirragula,Dungog,Rd,Ramp,-32.46292679,151.7424687,
Wolli,Discovery Point,Pl,Lift,-33.92884985,151.1538917,
Wollongong,Station,St,Path,-34.42698795,150.8884363,
Wollstonecraft,Shirley,Rd,Ramp,-33.83245952,151.1921823,
Wombarra,Morrison,Ave,Stairs,-34.27530416,150.9535083,
Wondabyne,Wondabyne Wharf,,Ramp,-33.49202131,151.2571482,
Woodford,Railway,Pde,Stairs,-33.7357511,150.4821963,
Woolooware,Swan,St N,Stairs,-34.04741225,151.1437622,
Woonona,Park,Rd,Ramp,-34.34939351,150.9153897,
Woy Woy,Railway,St,Ramp,-33.48527377,151.3237255,
Wyee,Wyee,Rd,Ramp,-33.17984054,151.48724,
Wynyard,Napoleon,St,Path,-33.86524696,151.20397,
Wynyard LR,George,St,Path,-33.86670287,151.2070738,
Wyong,Howarth,St,Lift,-33.2853325,151.4255494,
Yagoona,Hume,Hwy,Path,-33.90733106,151.0246767,
Yennora,Railway,St,Ramp,-33.86502912,150.9707162,
Yerrinbool,Old Hume,Hwy,Path,-34.37159251,150.5434481,
